"art","description"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300078768","Cuspide a lama di sezione romboidale. Scure lunata e becco assai accentuato. Scure e becco traforati, incisi e punzonati con ampie tracce di doratura a missione. Gorbia troncoconica. Alla base della cuspide tracce di preesistente lanterna (due ordini di sei fori). Una delle estremità della scure è tronca. La base della scure reca sui due lati il Leone di San Marco con libro chiuso con l'iscrizione dedicatoria tradizionale. Alla base del becco una specie di medaglione, la cui originaria eventuale figurazione non è più leggibile. Alla mezzeria, fra scure e becco, due denti di arresto a piramide. Legno non originale. E' evidente che anche il corpo d'innesto sull'asta e le due lunghe bandelle laterali non sono originali"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100173585","Il velo di calice è confezionato in taffetas violaceo (ora molto scolorito) ed è ricamato in seta policroma; gallone in filo d'argento a fuselli; fodera in taffetas bianco"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900351924","Ringhiera"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900741376","Soggetti sacri: crocifissione"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900593322","Recto: figura femminile mascherata che danza e sullo sfondo Firenze"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900848231","Il monumento al Milite Ignoto, collocato nella piazza interna dell’ex-colonia agricola di Mutigliano (luogo destinato ad accogliere gli orfani di guerra), presenta una base costituita da una piattaforma a gradini sormontata da due piedistalli a base quadrata al sommo dei quali è posta una statua raffigurante un’aquila reale dalle ali spiegate. La parte alta del basamento reca la dedica al milite ignoto, mentre la parte inferiore un discorso in lode ai caduti risalente al 1922 di Antonio Anile. L'area di rispetto è definita da colonnine in pietra collegate tra loro con delle catenine"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900642129","Ritratti: donna. Abbigliamento: all'antica"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200101903","In alto, sopra le nubi, sono la Vergine con il Bambino e due angioletti. In basso San Giovanni Battista con l'agnello emblematico, San Michele Arcangelo con la lancia e la bilancia, un santo vescovo con mitra e pastorale"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500133964","Soggetti sacri"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100081492","reliquiario"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300067697","ELEMENTI ARCHITETTONICI"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500224532","lapide con stemma non indentificabile"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/2000107609","Reliquiario in argento sbalzato e decorato a volute e motivi fitomorfi su supporto ligneo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000216495","Cornice di forma rettangolare modanata con finitura a terra gialla, mentre agli angoli è marmorizzata di rosso"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500059155","Ex voto"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1300218696","Non rilevato"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500431591-4","TESSUTO: FONDO MELANZANA MOTIVI OTTENUTI PER TRAME BROCCATE IN ARGEN TO FILATO E ONDATO E TRAME SPOLINATE IN FILI DI SETA POLICROMI. GALLONE: A TELAIO IN ORO FILATO. FODERA: TAFFETAS DI SETA VIOLETTO. D E CORAZIONE: CESPI FITOMORFICI DISPOSTI A SCACCHIERA"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900218084","Base rettangolare modanata e mistilinea, parte centrale suddivisa in tre pannelli con motivo stellare in quello centrale e decorazione gigliacea in quelli laterali, parte terminale a parallelepipedo anteriormente modanato con festone fitomorfo e aquila bicipite centrale"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068061","IL corpo della campana è ornato da fasce e rigature"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700038047","La decorazione in legno dello schienale si diparte simmetricamente dal centro dove è posta una foglia di acanto intagliata, e si sviluppa in linee curve che formano riccioli.La parte inferiore segue lo stesso modulo decorativo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100118257","Figure: Santi; santi francescani"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000133552","Porta croce con piedini e decorazioni con teste di angioletti"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800116275","Legno tenero dipinto in toni verde chiaro e scuro, a finto marmo variegato in verde, viola, bianco e parti dorate. Struttura semitrapezoidale a sporgenze laterali su piedini a tronco di cono, provvista di doppi sportelli al centro e isolati sui lati obliqui. Le specchiature sono a riquadri listati ed a finto marmo. La parte superiore ripete la stessa disposizione e le paraste hanno decorazioni con basi sagomate e capitellini a tronco schiacciato dorati. La trabeazione è orizzontale a salienti. I pomelli degli sportelli sono di ottone"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300086721","Personaggi: Cristo; Mosè; Elia. Figure: apostoli"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1300027169B","DNR"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1400020904","statua"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900535031","Figure: giovanetto. Elementi architettonici: finestra"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900113666","Piviale rosso. Grandi maglie ovali, definite da tralci di foglie e fiori e contenenti grosse infiorescenze centrali, si susseguono in verticale. Gallone in oro filato a doppio ventaglietto e fodera in taffetas rosso"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100125915","Balaustrata in due sezioni ad andamento rettilineo. Base modanata; ogni troncone è costituito da cinque colonnine a fuso rinserrate da plinti"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900331800","Mostra di porta"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800028571","La sovrapporta in pietra grigia e riquadro sagomato con motivi a fogliame stilizzato e volute, è il pendant della scheda precedente, nello stesso ufficio. L'affresco centrale raffigura due putti in atto di giocare con grappoli d'uva. In primo piano è infatti un cesto colmo di uva e sulla destra si intravede il tronco di un albero"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500210775",""
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800108691A-1","Pianeta in seta verde ricamata e laminata in oro con stemma dell'abate Caracciolo apposto sulla parte posteriore e stola bordata in oro con croce ricamata. Il paramento liturgico è composto da pianeta e stola"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1300142515","dnr"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800083884","Personaggi: Cristo; Anna. Figure. Armi: lancia; frusta; spada; alabarda. Interno"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1300027156-8","DNR"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500084203-1","Personaggi: San Pietro Apostolo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900156761","Figure maschili: uomo. Animali: pesce"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000144975","Personaggi: Madonna; Bambino; San Giuseppe; Santo francescano"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100046968-1","Sant'Antonio tra le nubi, con le mani giunte e lo sguardo verso l'alto, è accompagnato in cielo dagli angeli"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100201827-21","Sedia con schienale ricurvo terminante alla base con due volute: le gambe anteriori sono tornite, mentre quelle posteriori sono lisce, a sciabola"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800025783","La navicella è lavorata a sbalzo in lamina di argento. Presenta lievi deformazioni alla base. Oggetto di non grande pregio, esecuzione piuttosto artigianale"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700038517","Base circolare, decorata da motivi fitomorfi, angioletti e da una croce. Fusto a nodo con testine di angioletti. Sottocoppa ornato, in basso, da motivi vegetali; al centro, dai simboli della passione e in alto da fascia perlinata"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200236575","La figura femminile è raffigurata seduta; con la mano destra impugna una maschera di vecchio, Indossa una veste rossa e un mantello verde"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900489244","Spada"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500078113-3","Abbigliamento religioso"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100172477-2","Reliquiario poggiante su una base a pianta ottagonale con piedi ornati da motivi a bottone e da decori vegetali stilizzati e fusto formato da grandi foglie d'acanto dai bordi frastagliati che si aprono sulla sommità a contenere il busto. Il santo, raffigurato a mezzobusto, con una barba a ciocche ondulate, leggermente rivolto a destra, indossa il manto, decorato da motivi vegetali a voluta, fermato, sul davanti, da un fermaglio di forma poligonale, e la mitra che presenta una croce lobata. Alla base del busto, al centro, tra i due lembi del manto, è collocata la teca di forma ovale contenente la reliquia"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500665752","croce con simboli della passione"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900528241","In primo piano sono raffigurati una giovane donna ed un pastore con alcune pecore; alle loro spalle si intravedono resti di edifici classici, colonne e capitelli, circondati da folta vegetazione e da capanne di paglia"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300124597","crocifissso"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500248663","Frammento di scodella in ceramica invetriata giallo bruna e dipinta con corpo carenato, decorata da un motivo simbolico"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677683","Monumento ad obelisco con base quadrata a doppio gradino su cui poggia una struttura in pietra d'Istria di forma geometrica irregolare con i nomi dei caduti di Jesolo della Prima Guerra Mondiale. Nel corpo superiore dell'obelisco, sul lato destro, all'interno di un piccolo riquadro, sono incisi i nomi dei caduti della Seconda Guerra Mondiale, mentre sul lato opposto vi è una scultura a rilievo raffigurante la morte e l'incoronazione di un soldato. L'opera è uno dei quattro obelischi situati ai piedi del Ponte della Vittoria, due su ciascuna sponda del fiume Piave"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500088531","Figure: angelo. Simboli della passione: lancia"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1400002342-1","I dossali presentano due colonne corinzie in finto marmo su cui poggia unarchitrave mistilineo con timpani arcuati e spezzati. Al centro targa di coronamento in cui è rappresentata la Colomba dello Spirito Santo. Presenta, inoltre, una corona in metallo brunito, applicata all'architrave"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1600032864A-4","dipinto"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500406162","Il corpo rettangolare del monumento sale in un ammasso di rocce a forma piramidale. Sulla fronte (lato nord) vi è la dedica a caratteri applicati, ai lati invece si trovano le lapidi con incisi i nomi dei soldati caduti: a est i caduti della prima guerra mondiale, a ovest quelli della seconda guerra mondiale. Sulla sommità spicca la figura bronzea di un soldato che porta la bandiera d’Italia. Tutto il monumento insiste su una leggera scarpata cinta da stanti collegati da catene"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300016238","La croce astile, dalla complessa base è attualmente infilata in un bastone probabilmente non originale. Manca la raggiera che si estendeva dall'incrocio dei bracci. Legno intagliato, argentato, con alcuni particolari dorati a mecca"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900212327","Lapide"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900266254","Applique"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000042848-12","Parasta con capitello composito intagliato con aquile e teste di ariete"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/2000051920","pianta quadrangolare, cornice con decorazioni floreali, volta cassettonata a botte con motivo a rosoni"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300276837","pianeta"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300047597","Personaggi: San Carlo Borromeo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800221272","dipinto"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500156561","Cancello di balaustrata"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100106138","Base circolare con tesa piatta e corpo rialzato decorato da volute, elementi fogliecei e coppie di cherubini in rilievo; nodo a vasetto con volute fogliacee. Teca circolare circondata da una corona di nuvole con cherubini, raggiera a fasci di raggi con spighe di grano e grappoli d'uva. Coronamento con angeli e volute che incorniciano la figura dell'Eterno"
