"art","art_label","subject1","subject2"
"https://d-nb.info/gnd/1209301261","Romanzen vom Rosenkranz (Clemenszimmer)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/122306042X","Die Errettung Fatmes","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1209090686","Szenen aus dem Märchen vom Müller Radlauf (Clemenszimmer)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1215720947","Kōkaku Kidōtai","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1106267613","Brasilia qua parte paret Belgis","https://d-nb.info/standards/vocab/gnd/gnd-sc#19.2p","https://d-nb.info/gnd/4008003-1"
"https://d-nb.info/gnd/1120434602","Karte des Piri Reis","https://d-nb.info/standards/vocab/gnd/gnd-sc#19.2p",""
"https://d-nb.info/gnd/112462662X","Joachim Friedrich Seegebart (Bildnis)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1127608916","Adorufu ni tsuge","https://d-nb.info/standards/vocab/gnd/gnd-sc#12.2p @ https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1163331007","Der Dudelsackpfeifer (Druckgrafik, Kupferstich)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1170245706","Melanchthon (Druckgrafik, Kupferstich)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1219172227","Die Wichtelmänner","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1186210052","Triumphwagen Kaiser Maximilians I. (Wandmalerei)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1186210397","Jüngstes Gericht (Wandmalerei)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1208315315","Die ThierGesellschaft führt den Bärnhäuter in Versuchung","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1207789844","Albrecht Dürers Haus (Staatsbibliothek Bamberg), I B 20a","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1207789984","Eingangshalle im Erdgeschoss des Dürer-Hauses (Staatsbibliothek Bamberg), I B 20b","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1209093286","Clemens-Zimmer (Wandbilder)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p @ https://d-nb.info/standards/vocab/gnd/gnd-sc#13.6 @ https://d-nb.info/standards/vocab/gnd/gnd-sc#6.1a",""
"https://d-nb.info/gnd/1212215133","Reisen und Entdeckungen in Nord- und Centralafrika (Illustrationen)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1214455697","Schwester Marie (Aquarell)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1215229429","Schrift (Aquarell)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216347352","Äpfel (Aquarell, 1930)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216357269","Äpfel (Aquarell, 1935)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216357358","Selbstporträt (Aquarell, 1935)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216586462","Selbstporträt (Zeichnung, 1935)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216586985","Eva (Zeichnung, 1935)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216587043","Liebespaar (Zeichnung)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216642117","Tulpen (Zeichnung)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216643598","Raucher (Zeichnung)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216644594","Eva (Zeichnung, 1936)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1220118176","Der neue Pausias und sein Blumenmädchen (Zeichnung)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1216837902","Werther und Lotte: Werther und Lotte am Klavier","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/121683833X","Die Leiden des jungen Werthers (Studie)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216847681","Götz von Berlichingen und sein Knab, Götz von Berlichingen und sein Knappe Georg in der Herberge","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216847967","Das Leben des Goetz von Berlichingen (Illustrationen)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1216848203","143 Federzeichnungen zu Goethes Faust II","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217011218","Iphigenie als Priesterin in Tauris","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217674586","Götz mit Rüstung und Elisabeth","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217740031","Illustrationen zu Goethes Faust I","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217822437","Faust und Mephisto","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.2p",""
"https://d-nb.info/gnd/1140143999","Rapunzel","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.2p",""
"https://d-nb.info/gnd/1217082115","Egmont und Clärchen","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217086099","Klärchen und Brackenburg","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217086412","Egmont, 2018/619","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217330356","Konvolut von 311 Zeichnungen zu Reineke Fuchs","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217330666","Reineke nimmt Abschied von seiner Familie","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217330860","Die Geschichte vom neidischen Esel Boldewyn","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217360263","Hermann und Dorothea","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.2p",""
"https://d-nb.info/gnd/1219808210","Gänsemagd","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1219833908","Der gestiefelte Kater","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1219880647","Brüderchen und Schwesterchen","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/1219881449","Brüderchen und Schwesterchen","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/4203158-8","Versuch einer Anweisung, die Flöte traversière zu spielen","https://d-nb.info/standards/vocab/gnd/gnd-sc#14.4p",""
"https://d-nb.info/gnd/4213839-5","Labyrinth","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/7674931-9","Dornröschen","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.2p",""
"https://d-nb.info/gnd/1217448594","Neunundzwanzig Illustrationen zu Goethes ""Das Märchen""","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1219833789","Märchen von einem, der auszog, das fürchten zu lernen","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/4305736-6","Die Bürger von Calais","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.2p",""
"https://d-nb.info/gnd/1208949012","Romanzen vom Rosenkranz","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1209077566","Clemens Brentano und der Zigeuner Mihali","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1209690985","Die mehreren Wehmüller","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/4338410-9","Andeutungen über Landschaftsgärtnerei","https://d-nb.info/standards/vocab/gnd/gnd-sc#10.7p",""
"https://d-nb.info/gnd/119305625X","Handschrift (Universiteitsbibliotheek, Amsterdam), III C 22","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p @ https://d-nb.info/standards/vocab/gnd/gnd-sc#25.3p","https://d-nb.info/gnd/4067960-3"
"https://d-nb.info/gnd/1193058856","Handschrift (Universiteitsbibliotheek, Amsterdam), III C 23","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p @ https://d-nb.info/standards/vocab/gnd/gnd-sc#25.3p","https://d-nb.info/gnd/4067960-3"
"https://d-nb.info/gnd/1209172968","Vater Rhein und das Christkind","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1209246562","Skizze zu einem Interieur (?, Sammlung Schinkel), SM A.23 verso","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1209247690","Illustrationsentwurf zu Gockel, Hinkel und Gackeleia (Sammlung Schinkel), SM A.23 recto","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/120964150X","Illustrationsentwurf zu Gockel, Hinkel und Gackeleia (Sammlung Schinkel), SM 48a.125","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.3",""
"https://d-nb.info/gnd/1209645572","Ameleyas Ankunft in Mainz","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/120964942X","Ameleya und der Müller Radlauf","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1214604501","Graf Gockel","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217351027","Venezianische Skizzen","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1209612313","Zwei Illustrationsentwürfe zur Chronika eines fahrenden Schülers (Sammlung Albertina), verso","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1209628821","Zwei Illustrationsentwürfe zur Chronika eines fahrenden Schülers (Sammlung Albertina), recto","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1209714973","Die Laurenburger Els am Grabstein Hanses von der Laurenburg","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1209717573","Die Laurenburger Els (Kupferstichkabinett Braunschweig), Z V 96 recto","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
